File Name,new_cluster_group,boltzmann_weighting,cluster_group_H298 (Hartrees)
oxane-4c1-freeze_pm3-TS_pm3.log,1,1.0,4.924690632000001
oxane-2h1-freeze_pm3-TS_pm3.log,3,1.0,4.924690632000001
oxane-b25-freeze_pm3-TS_pm3.log,10,1.0,5.126748530000002
oxane-b14-freeze_pm3-TS_pm3.log,17,1.0,2.945527245999998
oxane-5s1-freeze_pm3-TS_pm3.log,18,1.0,2.945527245999998
oxane-25b-freeze_pm3-TS_pm3.log,19,1.0,2.945527245999998
oxane-3s1-freeze_pm3-TS_pm3.log,20,1.0,2.945527245999998
oxane-3e-freeze_pm3-TS_pm3.log,27,1.0,5.126748530000002
oxane-eo-freeze_pm3-TS_pm3.log,33,1.0,4.924690632000001
oxane-os2-freeze_pm3-TS_pm3.log,36,1.0,4.924690632000001
