method,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,AM1,PM3,PM3MM,PM6
4c1,0.0,0.00316,0.01449,0.01095,0.00447,0.00707,0.02915,0.06519,0.06519,0.03886
2so,0.0,0.00775,0.00837,0.02408,0.00316,0.0247,0.01,0.10826,0.1084,0.30887
1s3,0.0,0.00548,0.00707,0.02214,0.00316,0.02324,0.00894,0.10658,0.10672,0.30713
bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.12608
1s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.12576
os2,0.0,0.005,0.00837,0.02236,0.0,0.0247,0.01,0.10831,0.10831,0.30981
3s1,0.0,0.00707,0.00775,0.02408,0.00316,0.0251,0.01,0.10872,0.10849,0.30887
1c4,0.0,0.00316,0.01342,0.0114,0.00447,0.00707,0.02915,0.06519,0.06519,0.03886
