group,pucker,REFERENCE
0_1-0,oh1/oe,4.68905
0_1-1,oe/oh5,0.04777
0_10-0,oh1/oe,1.16133
0_10-1,e5/b25,0.04777
0_10-2,oe/oh5,42.39179
0_3-0,oh1/oe,1.32254
0_3-1,e1/oh1,7.00668
0_3-2,2h1/2e,0.0
0_4-0,25b/5s1,2.58489
0_4-1,oh1/e1,1.88995
0_4-2,2h1/5s1,0.67576
0_6-0,5s1,0.0
0_6-1,e3/2h3,13.95709
0_6-2,4h3/e3,0.0
0_7-0,e3/4h3,2.5151
0_7-1,os2/oh5,0.0
0_7-2,4e,0.0
0_8-0,4h5/e5,3.34054
0_8-1,oe/oh5,1.14373
0_8-2,4h3/4e,0.0
0_8-3,oh5/e5,0.0
0_9-0,e5,0.0
0_9-1,oh5/oe,0.0
10_11-0,e2/3h2,0.04777
10_11-1,os2/3h2,0.0
10_12-0,3h2/3e,7.62215
10_12-1,3h2/e2,0.76453
10_12-2,e2,0.0
1_10-0,3ob,5.70827
1_11-0,3h4/3e,0.08848
1_11-1,e4/5h4,0.0
1_11-2,3e/3h4,0.0
1_12-0,3h2/3e,0.0
1_8-0,os2/b25,0.0
1_8-1,b25,0.0
2_11-0,1e/1h2,0.0
2_12-0,1h2,0.0
2_6-0,14b/4e,0.0
2_7-0,14b/1s5,0.0
3_11-0,5e,0.0
3_11-1,5h4/5s1,0.21265
3_11-2,3h4/3e,0.0
3_6-0,25b,0.0
4_11-0,5e/5s1,3.17147
4_6-0,25b/5s1,3.5734
4_6-1,25b,12.60926
4_7-0,5s1/25b,11.73938
5_11-0,5e,0.73679
5_6-0,25b/2so,0.0
6_11-0,5ho,0.0
6_11-1,1e,0.08848
6_11-2,25b/2so,10.53882
6_11-3,5e/5h4,0.29448
6_12-0,5e/5ho,7.70388
6_12-1,1e/1h2,0.0
6_12-2,1ho,0.0
6_7-0,1s3,0.0
6_7-1,bo3/1s3,22.08029
6_7-2,e3/bo3,0.0
6_8-0,14b/4e,0.0
7_11-0,1e/1h2,0.0
7_12-0,5e,0.0
7_12-1,1e/1h2,54.15855
7_12-2,1ho/1e,0.0
7_8-0,14b,2.63906
8_10-0,b25/os2,1.69772
8_10-1,b25,0.54781
8_11-0,1h2,0.04777
8_12-0,1h2,5.49374
8_12-1,1h2/1e,0.88491
8_9-0,b25,0.0
