method,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.01175,0.00463,0.00581,0.00998,0.01298,0.01298,0.05306
e3,n/a,n/a,n/a,n/a,0.08497,0.08497,n/a
bo3,0.03475,0.01799,0.02769,0.03234,0.05799,0.05839,0.04661
1s3,0.04183,0.03248,0.02795,0.03668,0.03924,0.05271,0.07909
3s1,0.05164,0.0427,0.09126,0.18466,0.0716,0.0716,0.30349
5s1,0.0124,0.01201,0.01408,0.06186,0.08209,0.08209,0.02855
1s5,0.01895,0.02461,0.02572,0.0218,0.0446,0.05234,0.04585
os2,0.04063,0.03917,0.02161,0.06431,0.05289,0.05315,0.16473
25b,0.01571,0.22749,0.17847,0.08822,0.07619,0.07395,0.09646
5e,n/a,n/a,n/a,0.18407,n/a,n/a,0.14278
1e,n/a,n/a,n/a,n/a,n/a,n/a,0.33633
e2,n/a,n/a,n/a,n/a,0.23222,0.23222,n/a
5h4,n/a,n/a,n/a,n/a,0.38423,0.38423,0.27004
1h2,n/a,n/a,n/a,0.361,0.31154,n/a,0.17696
3h2,n/a,n/a,n/a,n/a,0.37272,0.37272,n/a
1c4,0.03687,0.02358,0.02385,0.02775,0.03422,0.03291,0.06585
