LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
3s1,3h2,1c4,1.961,2.489,1.06,n/a,n/a,n/a,n/a
os2,3h2,1c4,0.92,2.696,-0.015,n/a,n/a,n/a,n/a
os2,b25,1c4,0.92,2.696,n/a,1.518,1.471,1.438,n/a
1s3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,2.517
1s3,1h2,1c4,n/a,n/a,1.089,n/a,n/a,n/a,n/a
1s3,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,2.517
1s5,1h2,1c4,n/a,n/a,1.932,n/a,n/a,n/a,n/a
1s3,5e,1c4,n/a,n/a,n/a,0.9,1.409,1.419,2.517
bo3,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
25b,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,5e,1c4,n/a,n/a,n/a,0.988,0.832,0.793,n/a
3s1,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
25b,5e,1c4,n/a,n/a,n/a,1.189,1.087,1.064,n/a
bo3,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
